Trigram,Trigram_sum,p_abc,p_a_x_p_b_x_p_c,PMI
you_defend_the,1.0,0.0002872737719046251,6.247431629073923e-07,8.8449
you_do_experiment,2.0,0.0005745475438092502,8.948867342756812e-06,6.0046
you_do_n't,3.0,0.0008618213157138753,2.8425813912286343e-05,4.9221
you_do_science,1.0,0.0002872737719046251,8.422463381418175e-06,5.092
you_do_something,1.0,0.0002872737719046251,8.422463381418176e-05,1.7701
you_feel_how,1.0,0.0002872737719046251,1.1569317831618374e-06,7.956
you_from_go,1.0,0.0002872737719046251,8.098522482132862e-07,8.4706
you_get_a,2.0,0.0005745475438092502,1.4941773979535129e-05,5.265
you_get_an,1.0,0.0002872737719046251,7.288670233919575e-07,8.6226
you_get_hurt,1.0,0.0002872737719046251,2.4295567446398583e-07,10.2075
you_get_in,1.0,0.0002872737719046251,3.2799016052638088e-06,6.4526
you_get_lose,1.0,0.0002872737719046251,1.2147783723199292e-07,11.2075
you_get_mad,1.0,0.0002872737719046251,1.2147783723199292e-07,11.2075
you_get_pressure,1.0,0.0002872737719046251,1.0933005350879363e-06,8.0376
you_get_ta,2.0,0.0005745475438092502,2.4295567446398583e-07,11.2075
you_get_taller,1.0,0.0002872737719046251,1.2147783723199292e-07,11.2075
you_go_outside,1.0,0.0002872737719046251,1.6197044964265724e-07,10.7925
you_go_south,1.0,0.0002872737719046251,1.6197044964265724e-07,10.7925
you_go_to,6.0,0.0017236426314277506,1.5387192716052437e-05,6.8076
you_have_a,1.0,0.0002872737719046251,1.209572179295701e-05,4.5699
you_have_learn,1.0,0.0002872737719046251,9.833920156875618e-07,8.1904
you_have_pressure,1.0,0.0002872737719046251,8.850528141188056e-07,8.3424
you_have_to,3.0,0.0008618213157138753,9.342224149031836e-06,6.5275
you_have_too,1.0,0.0002872737719046251,6.883744109812933e-07,8.705
you_have_your,1.0,0.0002872737719046251,9.833920156875618e-07,8.1904
you_how_to,1.0,0.0002872737719046251,2.198170388007491e-05,3.7081
you_if_you,1.0,0.0002872737719046251,3.8109332937350924e-05,2.9142
you_in_court,1.0,0.0002872737719046251,6.247431629073923e-07,8.8449
you_invent_something,6.0,0.0017236426314277506,3.887290791423773e-05,5.4706
you_invent_the,1.0,0.0002872737719046251,1.3119606421055235e-05,4.4526
you_know_stuff,1.0,0.0002872737719046251,2.1634624345126358e-06,7.0529
you_learn_a,1.0,0.0002872737719046251,7.1151304664453005e-06,5.3354
you_live_in,1.0,0.0002872737719046251,7.809289536342403e-07,8.523
you_look_in,1.0,0.0002872737719046251,6.247431629073923e-07,8.8449
you_make_something,1.0,0.0002872737719046251,5.0904998459120835e-05,2.4965
you_make_stuff,3.0,0.0008618213157138753,1.0817312172563178e-05,6.316
you_measure_big,1.0,0.0002872737719046251,2.1056158453545443e-06,7.092
you_measure_how,1.0,0.0002872737719046251,6.0160452724415544e-06,5.5775
you_measure_something,1.0,0.0002872737719046251,2.4064181089766218e-05,3.5775
you_measure_the,2.0,0.0005745475438092502,8.121661117796098e-06,6.1445
you_measure_this,1.0,0.0002872737719046251,4.512033954331166e-07,9.3144
you_measure_with,1.0,0.0002872737719046251,4.512033954331166e-07,9.3144
you_need_to,2.0,0.0005745475438092502,4.396340776014983e-06,7.03
you_or_nobody,1.0,0.0002872737719046251,1.735397674742756e-07,10.6929
you_own_a,1.0,0.0002872737719046251,1.4230260932890602e-06,7.6573
you_own_the,1.0,0.0002872737719046251,6.247431629073923e-07,8.8449
you_press_and,1.0,0.0002872737719046251,8.214215660449047e-07,8.4501
you_push_or,1.0,0.0002872737719046251,1.2147783723199293e-06,7.8856
you_push_something,2.0,0.0005745475438092502,6.478817985706289e-06,6.4706
you_put_metal,1.0,0.0002872737719046251,3.470795349485512e-08,13.0149
you_put_pressure,1.0,0.0002872737719046251,1.5618579072684805e-07,10.8449
you_read_it,1.0,0.0002872737719046251,1.3189022328044944e-06,7.7669
you_represent_something,1.0,0.0002872737719046251,3.70218170611788e-06,6.2779
you_save_a,1.0,0.0002872737719046251,5.549801763827334e-05,2.3719
you_save_people,1.0,0.0002872737719046251,2.3913779957955175e-05,3.5865
you_save_somebody,5.0,0.0014363688595231256,2.0304152794490243e-05,6.1445
you_save_someone,2.0,0.0005745475438092502,4.8278763311343475e-05,3.573
you_save_the,2.0,0.0005745475438092502,2.4364983353388297e-05,4.5595
you_see_how,4.0,0.0011490950876185005,3.933568062750247e-06,8.1904
you_see_the,1.0,0.0002872737719046251,5.310316884712834e-06,5.7575
you_talk_about,1.0,0.0002872737719046251,5.206193024228269e-08,12.4299
you_they_'re,1.0,0.0002872737719046251,6.0738918615996455e-06,5.5637
you_think_about,1.0,0.0002872737719046251,1.5618579072684805e-07,10.8449
you_to_do,1.0,0.0002872737719046251,5.0008376327170414e-05,2.5222
you_use_a,2.0,0.0005745475438092502,1.4941773979535129e-05,5.265
you_use_all,1.0,0.0002872737719046251,3.644335116959788e-07,9.6226
you_use_it,1.0,0.0002872737719046251,9.232315629631461e-06,4.9596
you_use_something,2.0,0.0005745475438092502,1.9436453957118866e-05,4.8856
you_want_to,2.0,0.0005745475438092502,2.747712985009364e-06,7.7081
you_what_to,1.0,0.0002872737719046251,3.846798179013109e-06,6.2226
you_when_you,1.0,0.0002872737719046251,0.00012138528268933997,1.2428
you_whenever_you,1.0,0.0002872737719046251,1.5526024530031855e-05,4.2097
you_you_can,1.0,0.0002872737719046251,4.09322464882658e-05,2.8111
your_family_teach,1.0,0.0002872737719046251,1.8966094805931765e-09,17.2086
your_lawyer_there,1.0,0.0002872737719046251,6.638133182076118e-09,15.4013
your_life_or,1.0,0.0002872737719046251,7.11228555222441e-08,11.9798
your_life_when,1.0,0.0002872737719046251,2.0388551916376644e-07,10.4605
your_mom_say,1.0,0.0002872737719046251,1.8966094805931765e-09,17.2086
your_service_project,1.0,0.0002872737719046251,2.3707618507414706e-10,20.2086
your_strategy_like,1.0,0.0002872737719046251,4.5044475164087936e-08,12.6388
